name,slug,fullname,info
Abu Hurairah,abu-hurairah,Abdulrahman bin Shakhr ad-Dausi,"Nama lengkapnya lengkap Abdulrahman bin Shakhr ad-Dausi. Rasullulah saw memberikan gelaran ""Abu Hurairah"" sebab Abdurrahman seringkali membawa kucing kesana kemari. Ia juga meriwayatkan hadis tentang seorang wanita yang masuk neraka gara-gara kucing. Abu Hurairah hidup bersama-sama Rasullulah saw di Madinah. Meskipun demikian, Abu Hurairah menimba ilmu sebanyak-banyaknya dari Nabi. Suatu hari, Nabi mendoakan agar Abu Hurairah memiliki hafalan yang kuat. Menurut Abu Hurairah, semenjak itu dia tidak pernah lupa sesuatupun apa yang didengarkan daripada Nabi Saw. Layaknya Ahlu as-Shuffah (para sahabat mimbar masjid) sehari-harinya Abu Hurairah terkenal dengan sifat zuhud dan ahli ibadah. Abu Hurairah lebih untuk memilih menuntut ilmu dan mengikat perut. Abu Hurairah wafat di Kota Madinah pada akhir pemerintahan Muawiyah."
Abdullah bin Umar ,abdullah-bin-umar ,Abdullah bin Umar ,"Seorang pemuda yang cerdas dan rajin beribadah. Abdullah ikut berhijrah ke Madinah ketika beliau berusia 11 tahun. Abdullah bin Umar berkobar-kobar berperang untuk menegakkan syiar islam beliau ikut berperang ketika berumur 15 tahun. Dalam mencontohi Rasullulah saw Abdullah sangat bersemangat mengikuti sunnah Nabi. Disebutkan, pada suatu hari Abdullah berehat di bawah pohon dekat Kota Madinah sebagaimana Nabi pernah berhenti berehat. Aisyah ra, isteri Rasullulah saw pernah memujinya,""Tidak seorang pun mengikuti jejak langkah Rasullulah saw di tempat pemberhentiannya seperti yang dilakukan Ibnu Umar."""
